Text,label
" WATCH: Bill Maher Hilariously Explains Why Trump Ditched McConnell And Ryan For Chuck And Nancy  Republicans have been furious with Donald Trump lately. He blindsided them by ditching House Speaker Paul Ryan (R-WI), and Senate Majority Leader Mitch McConnell (R-KY), for Senate Minority Leader Chuck Schumer (D-NY), and House Minority Leader Nancy Pelosi (D-NY), now dubbed his new friends,  Chuck and Nancy.  However, Bill Maher, host of HBO s Real Time, seems to think that there is a very simple answer to this: Trump relates to  Chuck and Nancy  because he has the big city life in common with them. Using the children s book  The Town Mouse and the Country Mouse  to illustrate his point, Maher says: Chuck Schumer and Nancy Pelosi, they re city mice, and that s who a consummate New Yorker like Donald Trump relates to. Maher then goes on to say that, prior to running for the presidency as a Republican, Trump  would never be caught dead hanging around with a traveling Bible salesman like Paul Ryan, or a corny, countrified goober like Mitch McConnell. For Christ s sakes the man is from Kentucky. Jeff Sessions is from Alabama. When he talks, all Trump hears is a tiny little Earnest movie. Maher then takes on Vice President Mike Pence, saying: And Mike Pence? It must be torture for Trump to be in the White House every day with that homespun, Christian, tightly wound human hard on. He literally won t dine with an unchaperoned woman. Meanwhile, Trump has spent his entire life posing with a shit-eating grin that says look at all the pussy I m getting. At the end of the monologue, Maher gives a brutal message to so-called  Real Americans: I hate to break it to you, but what Trump likes about Chuck and Nancy, is that they re not you. This is absolutely true. Before running for president, Donald Trump was a typical New York Democrat. He doesn t give a shit about social issues or religion, and he sure as hell doesn t give a shit about the fools who put him in office. His own kids couldn t vote for him in New York s GOP primary because they were registered as Democrats. He s given bunches of money to Democratic politicians for years. Trump is no Republican. He just knew he could play that side of the aisle for fools, when he d never have had a chance running as a Democrat.Furthermore, Trump would never be caught dead hanging with any of the people who voted for him. And all those countrified middle American women who say that he can grab their pussies any time? Yeah, he wouldn t touch you with someone else s dick.Too bad those voters would vote for this guy again in a heartbeat.Featured image via video screen capture",Fake
"China defends ally Pakistan after Trump criticism BEIJING (Reuters) - China defended its ally Pakistan on Tuesday after U.S. President Donald Trump said the United States could no longer be silent about Pakistan’s “safe havens” for militants and warned it had much to lose by continuing to “harbor terrorists”. Trump on Monday committed the United States to an open-ended conflict in Afghanistan, signaling he would dispatch more troops to America’s longest war and vowing “a fight to win”. Trump insisted that others - the Afghan government, Pakistan, India and NATO allies - step up their own commitment to resolving the 16-year conflict, but he saved his sharpest words for Pakistan. Senior U.S. officials warned security assistance for Pakistan could be reduced unless the nuclear-armed nation cooperated more in preventing militants from using safe havens on its soil. Critics say Pakistan sees militants such as the Taliban as useful tools to limit the influence of old rival India. Pakistan denies allowing militants refuge on its territory, saying it takes action against all groups. Asked about Trump’s speech, Chinese Foreign Ministry spokeswoman Hua Chunying said Pakistan was on the front line in the struggle against terrorism and had made “great sacrifices” and “important contributions” in the fight. “We believe that the international community should fully recognize Pakistan’s anti-terrorism,” she told a daily news briefing. “We are happy to see Pakistan and the United States carry out anti-terror cooperation on the basis of mutual respect, and work together for security and stability in the region and world.”  China and Pakistan consider each other “all-weather friends” and have close diplomatic, economic and security ties. China has its own security concerns in the region, in particular any links between militants in Pakistan and Afghanistan and Islamist groups China blames for violence in its far western region of Xinjiang. “We hope the relevant U.S. policies can help promote the security, stability and development of Afghanistan and the region,” Hua said. ",Real
" Trudeau Does What Trump Can’t, Calls Out White Supremacy In America (TWEET) It s no secret that Donald Trump courts white supremacists. He repeatedly retweeted white supremacists during his travesty of a presidential campaign, he has refused to directly disavow people like Ku Klux Klan Grand Wizard David Duke, and he has refused to call out white supremacists when he is willing to attack countless other people, groups, and organizations. Therefore, it should be no surprise that he refuses to call out white supremacist violence in the wake of the horrific deaths and violence that has happened in Charlottesville, Virginia due to the gathering of white supremacists.Now, all of that being said, this is a time for leadership. Since Trump is not willing to provide that leadership, there is a man who will: Canadian Prime Minister Justin Trudeau. In Trump s stead, Trudeau tweeted:We know Canada isn't immune to racist violence & hate. We condemn it in all its forms & send support to the victims in Charlottesville.  Justin Trudeau (@JustinTrudeau) August 13, 2017While Canada may not be immune, it is not lost on us that Canada has a president that is inclusive and works toward equality daily. On the other side of that, we have a so-called  president  who refuses to acknowledge why this violence happened and who is responsible. The difference could not be more stark.There is one reason for this: Donald Trump is a racist. We have known this for years. This didn t start with Trump s bid for the White House. He has filled his administration with white supremacists, and nobody has said anything. Trudeau is right to do what he is doing. If Trump won t lead, other world leaders must take up the mantle and do so.Featured image via Win McNamee/Getty Images",Fake
" WATCH: Trump Crudely HUMILIATED A Woman Onstage Because She Accidentally Didn’t Introduce Him Donald Trump is a petty thin-skinned wannabe dictator who loves revenge. And this is proof.As we all know, the Republican nominee is getting hammered by sexual assault accusations and the fact that he bragged about groping and kissing women against their will.We also know that Trump retaliates over the smallest slights or perceived slights and has no problem insulting women.Well, during a Miss Universe appearance in Australia back in 2011, Trump went on stage and promptly announced to the audience that he intended to get revenge on someone because they didn t introduce him because of a simple miscommunication. Get even with people,  Trump said.  If they screw you, screw them back 10 times as hard. I really believe that. Then he called out the name of his victim, who also happened to be the 2004 Miss Universe winner from Australia, and demanded she come on stage and stand beside him so he could make an example of her in front of everyone. I ll give you an example: Jennifer Hawkins. Where s Jennifer? Where s she sitting? Get over here, Jennifer. First of all, how beautiful is Jennifer? This is about getting even. I was so angry at her yesterday. Seriously, as I said, I thought that she dissed me. I thought that my Jennifer   I m going around saying she s my favorite Miss Universe, but I think I like the new one better, Jennifer. So I go around saying she s the greatest   then when I came here, there was no Jennifer Hawkins to introduce me. Hawkins tried to defend herself by explaining that there was a miscommunication, but Trump disregarded what she had to say and proceeded to viciously humiliate her in front of her countrymen and women. I was actually going to get up and tell you that Jennifer is a beautiful girl on the outside, but she s not very bright. That wouldn t have been true, but I would have said it anyway. Because I said,  You know what, it would be great. I haven t seen Jennifer in a couple of years. She s so great and she did so well, and she s a big star here, and I helped her make it   I own the Miss Universe pageant. And I heard that she wouldn t introduce me. And then to add insult to injury, Trump tried to crack a sex joke and then attempted to kiss Hawkins even though she clearly was not interested in having Trump s lips anywhere near her.Here s the video via Huffington Post.Donald Trump is a creep and a pervert who thinks revenge is the answer to any little insult or slight, real or imagined. He does not have the temperament to be president and the thing we need is a revenge-obsessed egomaniac in control of America s nuclear arsenal and military forces.Featured Image: Kena Betancur/Getty Images",Fake
"U.S. lawmakers seek looser energy development rules for tribal lands WASHINGTON (Reuters) - A bill to ease restrictions on energy development on U.S. tribal lands has a good chance of passing the Republican-controlled Congress this year, after several failed attempts since 2013, the chair of the Senate Indian affairs committee said. Many Republican lawmakers, along with President Donald Trump, have expressed support for more oil drilling, coal mining and other energy projects on Native American reservations, which are overseen by the federal government. Several additional layers of regulatory bureaucracy have slowed those efforts. “I think we will be able to get the bill through the House this go around,” Republican Senator John Hoeven of North Dakota, who authored the bill with seven other Republican Senators, said in a recent interview with Reuters.  He said he believed the bill also had the support of “a broad spectrum of tribes across the country” and would “empower” Native Americans. The bill, dubbed the Tribal Energy Development and Self Determination Act, would authorize tribes to conduct their own energy resource appraisals. It would streamline the permitting process for drilling and mining and provide incentives for tribes to enter into joint-venture agreements with private companies. Former President Barack Obama had opposed a previous House version of the bill in 2015 because it would have exempted tribes from some federal environmental regulations. Other versions were blocked after being rolled into broader bills that were defeated. Tribal lands cover just 2 percent of the nation’s surface but by some estimates contain as much as a fifth of all remaining U.S. oil and gas reserves. But clearing regulatory hurdles for a single project on tribal lands can take as many as 50 steps, compared to a half dozen on private property, according to Reuters interviews conducted in January with tribal leaders, lawyers, oil company executives and federal regulators. Hoeven and Montana Republican Senator Steve Daines joined around a dozen representatives of mineral-rich tribes for a meeting with White House officials last week to discuss ways to reduce those barriers. Tribal participants at the meeting included representatives of the Crow Agency of Montana, the Three Affiliated Tribes of North Dakota, the Navajo Nation and the Southern Ute Indian tribe of Colorado - all tribes that currently produce oil, gas or coal. “We are just trying to amplify our opportunities, change the narrative of Indian country, and establish access to the administration,” said C.J. Stewart, a representative of the Crow. ",Real
" Trump Suggests Banning Moderators At Debates: Matt Lauer ‘Was Tough On Me’ Matt Lauer s performance as moderator of the IAVA Commander-in-Chief Forum was roundly slammed, but according to Donald Trump, the morning show host was not easy on him. So, Donald has come up with a way for the debates to treat him fairly.  The GOP thin-skinned presidential nominee thinks there should be no moderators.Donald pulled the  system is being gamed  card. As far as the debates are concerned, the system is being gamed because everybody said that I won the debate, you know, the so-called forum that your group put on,  Trump said.  But they all said I won and that Matt Lauer was easy on me. Well he wasn t. He was   I thought he was very professional, I have to be honest. I think he s been treated very unfairly, but they all said that I won, and what they re doing is they re gaming the system so that when I go into the debate, I m gonna get   be treated very, very unfairly by the moderators. Donald added that Lauer,  wasn t nice to me. He was tough on me. He gave me tough [questions]. I answered them better than she did. That must have been a different debate than the one we all watched. #LaueringTheBar quickly trended on Twitter. Lauer interrupted Hillary repeatedly while letting Donald speak without calling out the Republican candidate s lies. Meanwhile, Edward Murrow is spinning in his grave. The fact is, that they re gaming the system, and I think, maybe, we should have no moderator,  Donald said.  Let Hillary and I sit there and just debate because I think the system is being rigged so it s gonna be a very unfair debate, and I can see it happening right now because everyone s saying that he was soft on Trump,  he continued.  Well now the new person s gonna try to be really hard on Trump just to show, you know, the establishment what he can do. So I think it s very unfair what they re doing. So I think we should have a debate with no moderators   just Hillary and I sitting there talking. On Monday, Trump-backing CNN contributor Jeffrey Lord echoed Donald s thoughts on banning moderators for the debates. Has anyone seen Lord and Trump in the same room together? They might be the same person. They sure sound exactly alike.If Donald is afraid of a moderator, then he wouldn t fare well in talks with a world leader.Featured image via  Mark Wallheiser/Getty",Fake
" Fox News Host Jesse Watters Takes ‘Vacation’ After Disgusting Comments About Ivanka Trump Remember when Bill O Reilly took a vacation after his sexual harassment payoffs went public? Well, let s hope Jesse Watters  vacation is permanent, too.Watters is a product of Bill O Reilly s former Fox News program. The racist and sexist segments known as Watters  World often targeted specific groups in a sick and twisted version of right-wing  humor. From there, Watters was promoted as a guest host and just days after beginning a full-time gig on The Five, he is already taking time off after making a crude oral sex joke about Ivanka Trump on the air.While discussing Trump being jeered and booed in Germany for hypocritically talking about empowerment of women, Watters complained about liberals attacking Ivanka and characterized those attacks as anti-women even though what liberals are criticizing for is her blatant hypocrisy. Ivanka claims to be a champion for women s rights but stands idly by while her father signs executive orders reducing protections for women. In short, she is complicit by staying silent.Anyway, Watters couldn t control himself and ended up making a sex joke about Ivanka only days after Bill O Reilly was fired for sexual harassment. And his joke came just after whining about how liberals are supposedly  disrespecting  women by booing Ivanka. I really like the way she is speaking into that microphone,  Watters said while gesturing with his hands, implying that he s talking about oral sex.Here s the video via YouTube.Watters later tried to cover his ass by claiming that he was merely talking about her voice. On air I was referring to Ivanka s voice and how it resonates like a smooth jazz radio DJ,  Watters wrote.  This was in no way a joke about anything else. Viewers of Watters  words and actions drew sharp criticism, especially from conservative writer John Podheretz, who referred to Watters as a  disgusting creep. You are so full of shit it s coming out your ears, you disgusting creep. https://t.co/1cnrfc8rDC  John Podhoretz (@jpodhoretz) April 26, 2017And now Watters is going on a  vacation  for the rest of the week.Again, Watters was only on his third day on the job as a full-time host of The Five and he couldn t control himself from making a crude sex joke about a woman. He demonstrated perfectly that the sexist environment at Fox News has not changed at all. It s merely been taken over by younger frat boys.If Fox News is serious about changing the culture at their network, they should make sure Watters stays on  vacation. Featured Image: Screenshot",Fake
"Trump to hold town hall meeting with about 50 business leaders WASHINGTON (Reuters) - President Donald Trump plans to hold a town hall meeting with about 50 business leaders on Tuesday at the White House to talk about ways of improving the business climate, his administration said on Monday. The meeting, which will include the chief executives of Citigroup Inc, Blackstone Group LP, JetBlue Airways Corp, Mastercard Inc and the New York Stock Exchange, will involve discussions on infrastructure, modernizing government, workforce development and creating a pro-business climate. It comes as the administration is shifting its focus to tax reform and possibly a major investment in infrastructure after suffering a major setback when a Trump-backed healthcare reform package failed to win enough support to pass the House of Representatives. The town hall is an “opportunity to discuss policies to create a pro-business climate with top Partnership CEOs from all industries,” White House spokeswoman Lindsay Walters said  Trump has held a series of meetings with chief executives and other business leaders since taking office in January as he has prodded companies to add U.S. jobs and asked how government could reduce regulations to boost economic growth.  The town hall is scheduled to last an hour and 45 minutes and include banking, private equity and hedge funds, insurance companies and others. Also taking part will be Transportation Secretary Elaine Chao, House Majority Leader Kevin McCarthy, Commerce Secretary Wilbur Ross and Ivanka Trump, the president’s daughter and a senior adviser. Among the business leaders attending are senior executives from General Electric, Hearst, HSBC Bank USA, Interpublic Group, Vornado Realty Trust, Centerbridge Partners and Paulson & Co.   Trump, who was a real estate mogul before entering the White House, has pledged to use his business acumen to revitalize the American economy and create millions of jobs. While the Republican president has begun the process of rolling back some labor and environmental regulations that he said were harming businesses, the administration has yet to secure a significant legislative victory to support his efforts to boost the economy.         Trump has also proposed sweeping cuts in government regulations and signed an executive order to roll back some energy rules. Last week, the White House said Trump had named his son-in-law, Jared Kushner, already a White House senior adviser, to take on the additional task of overseeing an effort to overhaul the federal government. ",Real
"Senate Republicans complain of chaos in healthcare effort WASHINGTON (Reuters) - U.S. Senate Republicans, scolded by President Donald Trump for failing to overturn Obamacare, tried to salvage their seven-year effort for a new healthcare law on Thursday, but leading senators indicated frustration over shifting goal posts. Trump on Wednesday told the Senate’s fractured Republican majority to revive a bill to repeal and replace Obamacare that collapsed on Monday after Republicans from both moderate and conservative factions pulled their support. But after a late-night emergency meeting on how to win over holdouts appeared to yield no progress, senators expressed irritation.  “It really is starting to feel like a bazaar, $50 billion here, $100 billion there, and I feel like it’s losing coherency,” Senator Bob Corker said. Susan Collins, a moderate Republican who strongly objected to the revised bill, said she didn’t “even know what we are proceeding to next week” and said Trump had contributed to the “lack of clarity” over the next steps.  “I’m unclear, having heard the president and read his tweets, exactly which bill he wants to pass and whether he is for just repealing, or repealing and replacing - whether he’s for the Senate bill,” Collins said. Trump, who had campaigned heavily on a promise to repeal and replace Obamacare, the signature legislative achievement of former Democratic President Barack Obama, took a hands-off approach to the healthcare debate last week.  On Tuesday he suggested that he was fine with letting Obamacare fail. But on Wednesday he switched course and demanded that senators stay in Washington through their planned August recess until they find common ground on healthcare. The repeal and replace bill crafted by Senate Majority Leader Mitch McConnell would leave 22 million Americans without health insurance coverage by 2026, the nonpartisan U.S. Congressional Budget Office said on Thursday. Before Trump’s Wednesday lunch with 49 Republican senators, McConnell had planned to hold a straight repeal vote next week, but that appeared doomed with several Republican senators having already said they oppose that approach. The CBO said on Wednesday that 32 million more Americans would lose their insurance coverage by 2026 under a bill that would repeal much of Obamacare without a replacement. That compares with the 20 million who have become insured under Obamacare, as the Affordable Care Act is known. The Senate’s number two Republican, John Cornyn, said he expected a procedural vote on Tuesday to take up a healthcare bill, but said knowing what the healthcare bill will be before the procedural vote is “a luxury we don’t have.” An aide to Cornyn said he was referring to the amendment process that could change the bill once it is on the Senate floor. “It’s difficult to predict what the final product will look like,” the aide said.  Adding to Republicans’ woes was news late Wednesday that Senator John McCain has aggressive brain cancer. With a narrow 52-48 Republican majority, their fight for votes becomes even more difficult. McCain, a Republican known for his feisty independence, tweeted, “... unfortunately for my sparring partners in Congress, I’ll be back soon, so stand-by!” As they sought to break the impasse, senators were discussing changes to Medicaid, the government healthcare program for the poor that was expanded under Obamacare. One possibility would give states flexibility to use Medicaid funding to help cover healthcare expenses of people who would lose their Medicaid coverage under the Senate bill’s sharp cuts to the program. Senator Rob Portman, one of the undecideds on the healthcare bill, called the proposal “progress.” But Collins said she had not heard a Medicaid proposal that would tempt her to vote yes. Republicans say Obamacare is a costly intrusion into the healthcare system, but the party is divided between moderates concerned the Senate bill would eliminate insurance for millions of low-income Americans and conservatives who want to see even deeper cuts. McConnell revealed little of his next steps but said Republicans were not giving up. “The fight to move beyond the status quo of Obamacare was certainly never going to be easy,” he told the Senate on Thursday. “But we’ve come a long way, and I look forward to continuing our work together to finally bring relief.” The dramatic week at Congress and in the White House was taking its toll.          “I’m getting a little anxious,” Corker said. He said the best approach would be a repeal, with a delayed effective date by which time lawmakers could develop a replacement. Democrats, who are united in their opposition to the Republican efforts and reveled in this week’s deadlock, told Republicans to abandon their healthcare efforts as they appeared no closer to reconciling policy differences after Wednesday’s meeting.   “It’s time for Congress to pivot away from the bills that are going nowhere,” said House Minority Leader Nancy Pelosi. ",Real
"Deputy attorney general seeks meeting with top senators: Politico WASHINGTON (Reuters) - Deputy Attorney General Rod Rosenstein has asked to meet with the Senate Intelligence Committee, which is conducting an investigation into alleged Russian meddling in the 2016 U.S. election, Politico reported on Thursday, citing unnamed sources. Politico said Rosenstein was seen in the vicinity of the panel, which was holding a separate meeting on security issues. Rosenstein’s reported request comes days after President Donald Trump fired FBI director James Comey in a move that the White House has said followed a memo from Rosenstein. ",Real
